time,ACA,ADP,AMP,ATP,DPG,EtOH,F6P,FBP,GAP,GLC,NAD,NADH,P,PEP,PYR
0.9500000000000001,0.074860382461929,0.40891843410521295,0.03686647654568966,4.155816754193183,0.28812333308781835,0.3763477317564103,0.6902849250181764,0.16933666740285802,0.0238933617501692,0.2645983012306991,3.6205005490628817,0.616221881125992,0.033836428464794746,0.0037133709700348555,0.012655823796067204
1.0,0.07672654671287013,0.44653109248609985,0.044485778236841404,4.110583913447647,0.29226553655298826,0.37848141678743036,0.6602437172750683,0.20751599018766773,0.029069664173400612,0.2739955737412805,3.612934784941993,0.6237894474147213,0.03550447973833498,0.003977632247080253,0.01394903949898469
1.05,0.07891892021884987,0.4854207778583687,0.05334116942161044,4.062837956701001,0.29774645835501695,0.38071111979929145,0.6255861748881935,0.24934458775685944,0.034664362898737575,0.28322719862457524,3.6034827619320904,0.6332432716015735,0.0370902536493787,0.004278067830168562,0.015427412148673632
1.1,0.0814686944360468,0.524685729816665,0.06334168808041858,4.01357160637815,0.3045905961688405,0.3830565046294733,0.5872658688812619,0.29391663181078265,0.040497099655535065,0.292303496405777,3.59208058315401,0.6446472505662352,0.03858409345096935,0.004613658991675882,0.01710016822082806
1.1500000000000001,0.084405741694745,0.5635606794376571,0.07434636744022986,3.9636910981753486,0.3127659013744996,0.38553960885333466,0.5462053335501307,0.34038289196220495,0.0463938406681489,0.3012339343299273,3.578726432297281,0.6580032006197076,0.03997832576146461,0.004982787777797425,0.018972918269423305
1.2000000000000002,0.08775413237082585,0.6015248660240825,0.08620270208937285,3.9138696982013514,0.32219675245490104,0.3881824871593142,0.5031245242744468,0.3880987741087858,0.05222732135298453,0.3100261497799736,3.563470979315153,0.6732604518092188,0.04126789890862885,0.005383859295772585,0.02104813837520441
1.25,0.09153882932423124,0.6381287206136771,0.09871299944377776,3.8647546680023632,0.33276993626167944,0.391012452541134,0.4587526775517495,0.43641621618683557,0.057890284983454596,0.31868838005973493,3.5464041215370394,0.690329106805909,0.042448329880698264,0.005814388487003968,0.023326666555801772
1.3,0.09578261112537793,0.6730068618361645,0.11166709078718834,3.816921557664726,0.3443356305082928,0.3940615550156562,0.4137610155343041,0.48474660286830384,0.06330823324536904,0.3272288711190375,3.527658864362008,0.7090761602113166,0.04351650169812708,0.006270969256334104,0.025805947223456888
1.35,0.10049992687509829,0.7057717068651661,0.12494371439795628,3.7708792117357617,0.3567354335960068,0.39736190270317095,0.368687741509075,0.5326390457925179,0.0684150751287705,0.3356543480411102,3.507386945940861,0.7293498738751958,0.04447124310842234,0.006751503936467549,0.028480292392603187
1.4000000000000001,0.10569805026509961,0.736291596710807,0.13823594552530855,3.727066213956038,0.3698138576758933,0.40094704546288457,0.3242076006729423,0.5794714845113234,0.07322218643104708,0.34397065499851376,3.4857516104967448,0.750987003574941,0.04531319248207278,0.007249126646188812,0.031341537878515464
1.4500000000000002,0.11137666950693025,0.7644269009129181,0.15139857239050042,3.6857674065639996,0.383419577361424,0.4048522488109863,0.2806995339525285,0.624944973791665,0.07768745581997588,0.35218304917170645,3.46292082273844,0.7738195846023109,0.04604451016712479,0.007762635223472314,0.034374558309505164
1.5,0.1175275626376295,0.7898588332175387,0.1641747486485763,3.647558422158201,0.39741930811468695,0.4091144187796765,0.23896295571235865,0.6682946392631645,0.08185271345801116,0.3602963098174694,3.4390591383379876,0.7976830612858038,0.046668794620501455,0.00828337566356147,0.03756495851911922
1.55,0.12413516745213103,0.8124132163914983,0.1762234493376667,3.612954462933621,0.4116858433239777,0.4137714535614341,0.19984856574469553,0.708759909853104,0.0856521993967213,0.3683148501625192,3.414338757939384,0.8224052329819631,0.04719154308155543,0.008805936392073466,0.04088871825457427
1.6,0.13117456434455305,0.831751506421063,0.18724264728045528,3.582596100081028,0.4261066528609859,0.41886209657336165,0.16431992739895743,0.7454395475040771,0.08907174861310702,0.3762426513872998,3.3889325794097576,0.8478132018242018,0.04762061681865804,0.009323841116427577,0.04431686567555235
1.6500000000000001,0.1386124122641238,0.8473794572493883,0.19692993228116515,3.55727998985261,0.44057655103004734,0.424425079282757,0.13352329586643574,0.7772447744386415,0.09211107784794673,0.38408335095639307,3.3630216993579234,0.8737258712042472,0.04796623316140001,0.00982739567902784,0.04781652507725444
1.7000000000000002,0.1464054776041851,0.8592146765646058,0.20474974497790618,3.5376240839224007,0.4549863411673262,0.43049835955650434,0.10870488175798403,0.8030970393800726,0.09457215516694804,0.39184019282615123,3.3368144012122896,0.8999349576942323,0.048241675570945726,0.010306796971298647,0.05134164641039482
1.75,0.15450038882385966,0.8673497259266232,0.21064572541399124,3.5235921806865345,0.4692515316936514,0.4371180249461911,0.08999818400635136,0.822855404681788,0.09658744507755,0.3995160813644159,3.310500694090289,0.9262504521772611,0.04846221492200628,0.01075758896213266,0.05484453970872908
1.8,0.16283500636506432,0.8722610786310292,0.21464507509923209,3.514680605339359,0.483281607930167,0.44431753053660056,0.07700193180224661,0.8370118767372877,0.09810752101716408,0.4071137068591734,3.284281830008494,0.9524711026373076,0.048643045081793956,0.011175370856617864,0.05828100798754945
1.85,0.17134348478607936,0.8747287616061636,0.21699477892418867,3.509862346061722,0.49699357598344196,0.45212670401665217,0.06856793895475546,0.8467469057047261,0.09919114797773701,0.41463564120916757,3.258342214973657,0.9784125030681602,0.048797244835584064,0.011560990678224066,0.061614636551806705
1.9000000000000001,0.17995900092347575,0.8754204349355323,0.21805918948874467,3.508105390169997,0.5103243241262169,0.4605711570616971,0.06341243194216861,0.8533422888387525,0.0999426998716093,0.422084367288088,3.2328327289023413,1.0039237735537987,0.04893476272506635,0.011917625229735256,0.06482130357286478
1.9500000000000002,0.1886164110291574,0.874895357790016,0.21820897936360725,3.508479805922332,0.5232380408586387,0.46967164077752427,0.06033236823801471,0.8579794661508625,0.10047575943113006,0.4294622745385933,3.2078624371115962,1.0288958487777098,0.04906218554139532,0.012249180340357923,0.06788899315243924
2.0,0.1972554921962474,0.8735022453686232,0.21771715521648444,3.51036387145173,0.5357236908505915,0.47944449432300573,0.05851667715653198,0.861449598522306,0.10087306698753691,0.43677167477504475,3.1835033492426597,1.0532567190991922,0.04918358432556237,0.012558722022153619,0.07081388787424858
2.0500000000000003,0.20582225724127748,0.8714485645021861,0.21675296426078464,3.5133808727136775,0.5477859098498938,0.489901865835216,0.05749369771245051,0.8642117815042105,0.10118505719774788,0.44401478834528035,3.1598026103448764,1.0769592394694383,0.049301593262492886,0.012848343914717522,0.07359610048502592
2.1,0.2142689142577055,0.8688314175360272,0.2154117232987691,3.517338390560335,0.5594406204990668,0.5010517219263964,0.057042056149879276,0.8664799483136344,0.10143866071214525,0.45119373581949307,3.13678753641241,1.0999760938948253,0.04941774965302748,0.013119626420085994,0.07623860385261823
